nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
363,Martin,Oliver,Leimbach,SVP,"Motion von Heinz Keller, Oliver Martin, Jürg Wiesli und Hermann Lei vom 4. Oktober 2021 'Kostenlose Coronatests im Kanton Thurgau'",20/MO 21/226,
316,Peter Köstli,Sabina,,Die Mitte,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
265,Mader,Christian,,EDU,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
416,Fritschi,Manuela,,FDP,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
359,Hauser,Cornelia,,GRÜNE,"Motion von Judith Ricklin, Sabina Peter Köstli, Christian Mader, Manuela Fritschi, Stefan Leuthold, Waltraud Schönegger, Cornelia Hauser vom 28. August 2024 'Schaffung der Gewährung der Sonderschulung für Kinder und Jugendliche mit Behinderung gemäss Art. 62 Abs. 3 BV'",24/MO 6/49,
114,Tobler,Stephan,Roggwil,SVP,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Stephan Tobler vom 11. Juni 2008 'Bericht über das Sozialwesen im Kanton Thurgau',08/AN 1/13,
,Markstaller,Peter,Kreuzlingen,FDP,Interpellation von Peter Markstaller vom 11. Juni 2008 'Nutzung im Thurgau vorhandenen Know-hows und Pflege der hier ansässigen Wirtschaft',08/IN 2/15,
,Schnyder,Fabienne,Zuben,SVP,"Einfache Anfrage Fabienne Schnyder betreffend Wireless LAN an Volks-, Mittel- und Hochschulen",08/EA 2/18,
,Wälti,Bernhard,Freidorf,SP,Interpellation von Dr. Berhnard Wälti und Ernst Ritzi vom 2. Juli 2008 'Mehr Transparenz bei Parteispenden',08/IN 7/29,
,Wälti,Bernhard,Freidorf,SP,Interpellation Dr. Bernhard Wälti zur Infrastruktur in den Rathäusern,08/IN 9/35,
,Knöpfli,Walter,Kesswil,SVP,Interpellation von Walter Knöpfli vom 27. August 2008 'Verleihungsgebühren gemäss Paragraph 17 des Wassernutzungsgesetzes',08/IN 10/38,
,Frei,Markus,Uesslingen,GLP,"Interpellation von Thomas Böhni, Cäcilia Bosshard, Markus Frei und Josef Gemperle vom 29. September 2008 'Verwendung 'Kantonaler Energiefördergelder' zur Anschubfinanzierung 100 % erneuerbar versorgter Gemeinden'",08/IN 13/48,
,Gemperle,Josef,Fischingen,CVP,Interpellation von Josef Gemperle vom 17. Dezember 2008 'Wärmeverbunde bei kantonalen Bauten',08/IN 19/70,
,Möckli,Max,Schlatt,FDP,Interpellation von Max Möckli vom 25. Februar 2009 'Schwerverkehrskontrollen im Kanton Thurgau',08/IN 23/91,
,Martin,Urs,Oberaach,SVP,Einfache Anfrage Urs Martin zu den Defiziten des 'kooperativen Föderalismus',08/EA 26/93,
,Oberholzer,Susanne,Frauenfeld,SP,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Susanne Oberholzer und Renate Bruggmann vom 25. März 2009 'Ausarbeitung eines Integrationskonzepts für Ausländerinnen und Ausländer',08/AN 5/104,
,Badraun,Daniel,Schlattingen,SP,Einfache Anfrage von Daniel Badraun vom 25. März 2009 'Konzept betreffend Amoklauf an Thurgauer Schulen',08/EA 33/106,
,Gubser,Peter,Arbon,SP,Einfache Anfrage Peter Gubser zu den ausgebliebenen Konsequenzen bei der Führung des EKT,08/EA 34/107,
,Hugentobler,Walter,Matzingen,SP,"Interpellation der SP-Fraktion, vertreten durch Walter Hugentobler und Susanne Oberholzer, vom 6. Mai 2009 'Massnahmen gegen den Lehrstellenmangel (Jugendarbeitslosigkeit I)'",08/IN 25/121,
,Wittwer,Daniel,Sitterdorf,EDU,Motion von Daniel Wittwer vom 1. Juli 2009 'Informationspflicht des Bankrates',08/MO 19/144,
,Wälti,Bernhard,Freidorf,SP,Einfache Anfrage von Dr. Bernhard Wälti vom 28. September 2009 'Hochstapler und Pauschalbesteuerung',08/EA 50/160,
,Wälti,Bernhard,Freidorf,SP,"Motion von Dr. Bernhard Wälti, Susanne Oberholzer, Isabella Stäheli, Dr. Marlies Näf, Norbert Senn, August Krucker und Daniel Wittwer vom 2. Dezember 2009 'Einreichung einer Standesinitiative betreffend Grundversorger'",08/MO 26/175,
,Wittwer,Daniel,Sitterdorf,EDU,"Motion von Dr. Bernhard Wälti, Susanne Oberholzer, Isabella Stäheli, Dr. Marlies Näf, Norbert Senn, August Krucker und Daniel Wittwer vom 2. Dezember 2009 'Einreichung einer Standesinitiative betreffend Grundversorger'",08/MO 26/175,
,Vonlanthen,Andrea,Arbon,SVP,Interpellation von Andrea Vonlanthen vom 13. Januar 2010 'Sicherheit im Thurgau mit Schengen',08/IN 35/188,
,Gubser,Peter,Arbon,SP,Einfache Anfrage von Peter Gubser vom 13. Januar 2010 'Zu den BMS-Vorbereitungskursen',08/EA 56/191,
140,Schallenberg,Turi,Bürglen,SP,"Motion von Roland Kuttruff, Kurt Baumann, Silvia Schwyter, Martin Klöti, Turi Schallenberg und Daniel Wittwer vom 3. März 2010 'Umsetzungstermin des Auszahlungsmodus der Prämienverbilligung'",08/MO 29/205,
,Thorner,Christa,Frauenfeld,SP,Interpellation von Christa Thorner und Dr. Bernhard Wälti vom 31. März 2010 'Rauschtrinken im Thurgau',08/IN 38/218,
,Badraun,Daniel,Schlattingen,SP,Einfache Anfrage von Daniel Badraun vom 31. März 2010 'Vorbereitung auf eine mögliche Arbeitslosigkeit an Thurgauer Schulen',08/EA 59/220,
,Iseli,Maya,Romanshorn,GP,Einfache Anfrage von Silvia Schwyter und Maya Iseli vom 21. April 2010 'Tierhalteverbote',08/EA 60/228,
,Beerli,Urs-Peter,Märstetten,EVP,Interpellation von Dr. Urs-Peter Beerli vom 5. Mai 2010 'Erfolgsbeurteilung neuer Unterrichtsformen',08/IN 43/243,
,Schmid,Luzi,Arbon,CVP,Motion von Luzi Schmid vom 9. Juni 2010 'Änderung des Erbschafts- und Schenkungssteuergesetzes',08/MO 32/252,
,Imhof,Erwin,Bottighofen,SVP,"Motion von Erwin Imhof, Erna Claus, Rudolf Bär, Barbara Kern, Christian Lohr und Marion Theler vom 9. Juni 2010 'Verteilung der Grossratsmandate auf die Bezirke'",08/MO 34/254,
,Martin,Urs,Oberaach,SVP,"Motion von Urs Martin, Robert Meyer und Richard Nägeli vom 7. Juli 2010 'Jährlicher Ausgleich der kalten Progression'",08/MO 35/274,
,Schütz,Peter,Wigoltingen,FDP,"Motion von Peter Schütz, Carmen Haag und Dr. Christoph Tobler vom 10. November 2010 'Steigerung der steuerlichen Standortattraktivität'",08/MO 38/297,
,Haag,Carmen,Stettfurt,CVP,"Motion von Peter Schütz, Carmen Haag und Dr. Christoph Tobler vom 10. November 2010 'Steigerung der steuerlichen Standortattraktivität'",08/MO 38/297,
,Tobler,Christoph,Arbon,SVP,"Motion von Peter Schütz, Carmen Haag und Dr. Christoph Tobler vom 10. November 2010 'Steigerung der steuerlichen Standortattraktivität'",08/MO 38/297,
,Martin,Urs,Romanshorn,SVP,Motion von Urs Martin vom 24. November 2010 'Darlehen und Stipendien statt nur Stipendien',08/MO 39/300,
,Gantenbein,Hanspeter,Wuppenau,SVP,"Motion von Alex Frei, Hanspeter Gantenbein, Dr. Thomas Merz, Dr. Regula Streckeisen, Sara Wüger und Andrea Vonlanthen vom 16. Februar 2011 'Einführung Familienabzug im Steuergesetz'",08/MO 40/312,
,Böhni,Thomas,Frauenfeld,GLP,Einfache Anfrage von Thomas Böhni vom 30. März 2011 'Neubau Swift-Zentrum in Diessenhofen',08/EA 76/332,
,Schwyter,Silvia,Sommeri,GP,Motion von Peter Gubser und Silvia Schwyter vom 11. Mai 2011 'Schaffung einer Ombudsstelle',08/MO 45/349,
,Indergand,Werner,Altnau,SVP,"Motion von Hanspeter Gantenbein, Werner Indergand und Verena Herzog vom 29. Juni 2011 'Sicherstellung der Mundartsprache im Kindergarten'",08/MO 49/365,
,Altwegg,Hansjürg,Sulgen,SVP,Einfache Anfrage von Hansjürg Altwegg vom 29. Juni 2011 'Wie weiter mit Holzkraftwerken nach dem Volks-Nein in Bischofszell?',08/EA 82/366,
,Herzog,Verena,Frauenfeld,SVP,Einfache Anfrage von Verena Herzog vom 29. Juni 2011 'Konsequenzen des raschen Bevölkerungswachstums auf den Thurgau',08/EA 83/367,
,Gantenbein,Hanspeter,Wuppenau,SVP,"Parlamentarische Initiative von Hanspeter Gantenbein, Hermann Lei und Urs Martin vom 17. August 2011 'Konsequente Rückforderung der unentgeltlichen Prozessführung'",08/PI 6/373,
199,Lei,Hermann,Frauenfeld,SVP,"Parlamentarische Initiative von Hanspeter Gantenbein, Hermann Lei und Urs Martin vom 17. August 2011 'Konsequente Rückforderung der unentgeltlichen Prozessführung'",08/PI 6/373,
,Gantenbein,Hanspeter,Wuppenau,SVP,Motion von Hanspeter Gantenbein vom 9. November 2011 'Keine Steuergelder mehr für künftige Leistungen der Pensionskasse Thurgau',08/MO 50/386,
,Haag,Carmen,Stettfurt,CVP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Carmen Haag, Richard Nägeli und Stephan Tobler vom 23. November 2011 'Überprüfung des Leistungskataloges der kantonalen Verwaltung'",08/AN 18/391,
,Aepli Stettler,Elsbeth,Frauenfeld,CVP,"Motion von Elsbeth Aepli Stettler, Christian Koch, Marlies Näf, Walter Schönholzer und Silvia Schwyter vom 28. März 2012 'Öffnung des Zugangs zum Grossen Rat'",08/MO 56/422,
,Gemperle,Josef,Fischingen,CVP,Interpellation von Josef Gemperle vom 28. März 2012 'Personalentscheide AXPO/EKT Verwaltungsrat',08/IN 60/424,
,Rüetschi,Regina,Frauenfeld,GP,Einfache Anfrage von Regina Rüetschi vom 25. April 2012 'Pflastersteine aus China',08/EA 103/432,
,Gantenbein,Hanspeter,Wuppenau,SVP,"Motion von Bruno Lüscher, Gabi Badertscher und Hanspeter Gantenbein vom 25. April 2012 'Keine überparteilichen Listenverbindungen'",08/MO 58/435,
,Zahnd,Vico,St. Margarethen,SVP,Motion von Vico Zahnd und Hermann Lei vom 27. Juni 2012 'Massvolle TKB-Löhne',12/MO 1/31,
,Schwyter,Silvia,Sommeri,GP,Interpellation von Urs Martin und Silvia Schwyter vom 27. Juni 2012 'Schlechte Wahlbeteiligung bei Kantonsratswahlen',12/IN 1/32,
,Thorner,Christa,Frauenfeld,SP,Interpellation von Christa Thorner und Turi Schallenberg vom 27. Juni 2012 'Drohende Abschaffung der Sozialhilfe im Rahmen der eidgenössischen Asylgesetzrevision: Auswirkung auf den Kanton Thurgau und die Gemeinden',12/IN 2/33,
,Gubser,Peter,Arbon,SP,Einfache Anfrage von Peter Gubser vom 15. August 2012 'Abstimmungspropaganda der TKB',12/EA 5/37,
,Wiesli,Jürg,Dozwil,GLP,Interpellation von Jürg Wiesli vom 15. August 2012 'Wir brauchen eine kantonale Demenzstrategie',12/IN 3/39,
,Wiesli,Jürg,Dozwil,GLP,Motion von Jürg Wiesli vom 1. Oktober 2012 'Verfeinerung der IPV-Stufenübergänge',12/MO 4/52,
,Brägger,Josef,Amriswil,GP,Einfache Anfrage von Josef Brägger vom 9. Januar 2013 'Schulevaluation Volksschule',12/EA 20/78,
,Somm,Klemenz,Kreuzlingen,GLP,Motion von Toni Kappeler und Klemenz Somm vom 13. Februar 2013 'Verdichtet bauen - auch bei Parkplätzen',12/MO 10/82,
,Hartmann,Brigitta,Weinfelden,GP,Interpellation von Brigitta Hartmann vom 13. Februar 2013 'National vernetztes Waffenregister',12/IN 7/86,
,Wägeli,Hans-Peter,Buch b. Frauenfeld,SVP,Einfache Anfrage von Hans-Peter Wägeli vom 13. Februar 2013 'Unterhaltskonzept der Thur',12/EA 23/89,
,Martin,Urs,Romanshorn,SVP,Einfache Anfrage von Hermann Lei und Urs Martin vom 13. Februar 2013 'Transparenz über externe Vergaben und Aufträge im Jahr 2012',12/EA 25/91,
,Bon,David,Romanshorn,FDP,"Motion von Regula Streckeisen, Kurt Baumann, David H. Bon, Josef Gemperle, Hans-Peter Grunder, Robert Meyer, Katharina Winiger und Daniel Wittwer vom 13. März 2013 'Standesinitiative zur Ergänzung von Art. 25a des KVG betreffend die Pflegefinanzierung'",12/MO 14/94,
140,Schallenberg,Turi,Bürglen,SP,"Motion von Roland A. Huber, Margrit Aerne, Cäcilia Bosshard, Turi Schallenberg und Kristiane Vietze vom 17. April 2013 'Schaffung der gesetzlichen Grundlage für ein niederschwelliges Berufsausbildungs-Angebot'",12/MO 16/112,
,Komposch,Cornelia,Herdern,SP,Einfache Anfrage von Cornelia Komposch vom 26. Juni 2013 'Unternehmenssteuerreform III',12/EA 41/140,
,Wiesli,Jürg,Dozwil,GLP,Einfache Anfrage von Jürg Wiesli vom 14. August 2013 'Kostentransparenz für Projekt MoniThur',12/EA 49/154,
,Schenker,Marcel,Frauenfeld,SVP,"Motion von Ruedi Zbinden, Brigitte Schönholzer und Marcel Schenker vom 11. September 2013 'Volksschule ohne Parallelgesellschaft'",12/MO 21/158,
,Kappeler,Toni,Münchwilen,GP,Einfache Anfrage von Toni Kappeler und Jost Rüegg vom 11. September 2013 'Thurgauer Fliessgewässer opfern - für (fast) nichts?',12/EA 54/162,
,Möckli,Max,Schlatt,FDP,Einfache Anfrage von Max Möckli vom 23. Oktober 2013 'Gemisch von Altbelag und Kies auf Flurstrassen oder Hofplätzen',12/EA 59/175,
,Berner,Markus,Amriswil,BDP,"Einfache Anfrage von Hanspeter Grunder und Markus Berner vom 20. November 2013 'Waffensammelaktionen Thurgau, ein Erfolg?'",12/EA 62/182,
,Guhl,Andreas,Oppikon,BDP,Einfache Anfrage von Hanspeter Grunder und Andreas Guhl vom 4. Dezember 2013 'Aufsicht des Kantons über die Leistungserbringer auf der Spitalliste',12/EA 67/191,
,Rüegg,Jost,Kreuzlingen,GP,"Einfache Anfrage von Jost Rüegg, Matthias Rutishauser, Klemenz Somm und Barbara Kern vom 4. Dezember 2013 'Planungskosten für BTS und OLS'",12/EA 70/194,
,Rutishauser,Matthias,Dettighofen,SVP,"Einfache Anfrage von Jost Rüegg, Matthias Rutishauser, Klemenz Somm und Barbara Kern vom 4. Dezember 2013 'Planungskosten für BTS und OLS'",12/EA 70/194,
,Wiesmann,Sonja,Wigoltingen,SP,"Parlamentarische Initiative von Stefan Geiges, Sonja Wiesmann, Urs Martin und Ruedi Heim vom 4. Dezember 2013 'Öffentliches Beschaffungswesen muss volkswirtschaftliche Effekte stärker berücksichtigen'",12/PI 2/195,
,Gemperle,Josef,Fischingen,CVP,"Interpellation von Josef Gemperle, Ueli Oswald, Martin Salvisberg, Cornelia Komposch, Toni Kappeler, Jürg Wiesli, Urs Peter Beerli und Markus Berner vom 18. Dezember 2013 'Vorbereitung für die 3D-Seismik im Oberthurgau'",12/IN 14/197,
,Komposch,Cornelia,Herdern,SP,"Interpellation von Josef Gemperle, Ueli Oswald, Martin Salvisberg, Cornelia Komposch, Toni Kappeler, Jürg Wiesli, Urs Peter Beerli und Markus Berner vom 18. Dezember 2013 'Vorbereitung für die 3D-Seismik im Oberthurgau'",12/IN 14/197,
,Tanner,Moritz,Winden,SVP,"Motion von Moritz Tanner, Armin Eugster, Markus Berner und Hans Trachsel vom 22. Januar 2014 'Standesinitiative zur Stärkung der inländischen Nahrungsmittelproduktion'",12/MO 25/203,
,Berner,Markus,Amriswil,BDP,"Motion von Moritz Tanner, Armin Eugster, Markus Berner und Hans Trachsel vom 22. Januar 2014 'Standesinitiative zur Stärkung der inländischen Nahrungsmittelproduktion'",12/MO 25/203,
,Trachsel,Hans,Amriswil,EDU,"Motion von Moritz Tanner, Armin Eugster, Markus Berner und Hans Trachsel vom 22. Januar 2014 'Standesinitiative zur Stärkung der inländischen Nahrungsmittelproduktion'",12/MO 25/203,
114,Tobler,Stephan,Neukirch (Egnach),SVP,Motion von Stephan Tobler vom 22. Januar 2014 'Einsprache- oder Anhörungsverfahren für Verkehrsanordnungen',12/MO 26/204,
,Zahnd,Vico,St. Margarethen,SVP,Einfache Anfrage von Urs Martin und Vico Zahnd vom 22. Januar 2014 'Beseitigung des strukturellen Defizits im Kanton Thurgau',12/EA 75/206,
,Brägger,Josef,Amriswil,GP,Interpellation von Josef Brägger und Peter Gubser vom 12. Februar 2014 'Erfolgreiche Lehrstellensuche und Rekrutierung von Lernenden',12/IN 15/212,
,Martin,Urs,Romanshorn,SVP,"Motion von Andrea Vonlanthen, Daniel Vetterli und Urs Martin vom 26. Februar 2014 'Stärkung der parlamentarischen Mitsprache beim Erlass von Lehrplänen im Kanton Thurgau'",12/MO 28/222,
,Schrepfer,Urs,Busswil,SVP,Interpellation von Daniel Vetterli und Urs Schrepfer vom 26. Februar 2014 'Auswirkungen des Lehrplans 21 auf die Stundentafel im Kanton Thurgau sowie zur Kompetenzorientierung und dem Zeitpunkt der Einführung',12/IN 16/223,
207,Vetterli,Daniel,Rheinklingen,SVP,Interpellation von Daniel Vetterli vom 12. März 2014 'Schulleitungen in kleinen Schulgemeinden',12/IN 18/231,
,Guhl,Andreas,Oppikon,BDP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Roland A. Huber, Markus Berner, Hans-Peter Grunder, Andreas Guhl und Kolumban Helfenberger vom 7. Mai 2014 'Akutmassnahme Strassenbau Sulgen-Weinfelden'",12/AN 6/266,
,Huber,Roland,Frauenfeld,BDP,Einfache Anfrage von Roland A. Huber vom 28. Mai 2014 'Schwächung Standort Kanti Frauenfeld',12/EA 94/269,
,Martin,Urs,Romanshorn,SVP,"Parlamentarische Initiative von Urs Martin, Markus Berner, Ueli Fisch und Peter Gubser vom 2. Juli 2014 'Ergänzung des Finanzhaushaltsgesetzes um Art. 15a'",12/PI 4/275,
,Egger,Kurt,Eschlikon,GP,"Interpellation von Kurt Egger, Josef Gemperle und Roman Giuliani vom 27. August 2014 'Erneuerung NOK-Gründungsvertrag'",12/IN 25/280,
,Günter,Doris,Winden,EVP,Einfache Anfrage von Doris Günter vom 29. September 2014 '8 Jahre Verfahrensdauer in einem Milieuprozess',12/EA 106/294,
,Tanner,Moritz,Winden,SVP,Einfache Anfrage von Moritz Tanner vom 29. September 2014 'Auswirkung der AP 2014 – 2017 auf die Direktzahlung in der Landwirtschaft',12/EA 109/297,
,Marty,Walter,Ellighausen,SVP,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Walter Marty und Beat Pretali vom 22. Oktober 2014 'Erstellung eines kantonalen Sport- und Freizeitanlagenkonzepts (KASAK)',12/AN 7/305,
,Gutjahr,Diana,Amriswil,SVP,"Interpellation von Diana Gutjahr, Hansjörg Brunner und Hanspeter Gantenbein vom 25. Februar 2015 'Massnahmen zu den Folgen der Aufhebung des Mindestkurses'",12/IN 32/329,
,Fisch,Ueli,Ottoberg,GLP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Ueli Fisch, Walter Schönholzer, Joos Bernhard, Urs Schrepfer, Christian Koch und Andreas Guhl vom 25. Februar 2015 'Herausforderung zukünftige Thurgauer Gemeindelandschaft'",12/AN 9/332,
,Bernhard,Joos,Sulgen,CVP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Ueli Fisch, Walter Schönholzer, Joos Bernhard, Urs Schrepfer, Christian Koch und Andreas Guhl vom 25. Februar 2015 'Herausforderung zukünftige Thurgauer Gemeindelandschaft'",12/AN 9/332,
,Guhl,Andreas,Oppikon,BDP,"Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Ueli Fisch, Walter Schönholzer, Joos Bernhard, Urs Schrepfer, Christian Koch und Andreas Guhl vom 25. Februar 2015 'Herausforderung zukünftige Thurgauer Gemeindelandschaft'",12/AN 9/332,
,Martin,Urs,Romanshorn,SVP,Motion von Vico Zahnd und Urs Martin vom 25. Februar 2015 'Massgeschneiderte Sozialhilfe in den Gemeinden',12/MO 33/334,
,Blatter,David,Kreuzlingen,SVP,Motion von Barbara Kern und David Blatter vom 11. März 2015 'Änderung Gesetz über die Gemeinden',12/MO 35/340,
290,Rickenbach,Elisabeth,Frauenfeld,EVP,Motion von Elisabeth Rickenbach vom 11. März 2015 'Ergänzungsleistungen für einkommensschwache Familien mit Kindern',12/MO 37/342,
,Schrepfer,Urs,Busswil,SVP,Einfache Anfrage von Daniel Vetterli und Urs Schrepfer vom 11. März 2015 'Konkrete Umsetzung des Lehrplans 21 in den Thurgauer Schulen',12/EA 126/343,
,Brägger,Josef,Amriswil,GP,Einfache Anfrage von Josef Brägger vom 22. April 2015 'Lehrberufe und Fremdsprachen',12/EA 128/362,
,Egger,Kurt,Eschlikon,GP,"Interpellation von Peter Dransfeld, Kurt Egger, Alex Frei, Hans-Peter Grunder, Hermann Lei, Urs Martin und Klemenz Somm vom 6. Mai 2015 'Neues Kunstmuseum: Wie weiter?'",12/IN 37/365,
,Brunner,Hansjörg,Wallenwil,FDP,"Interpellation von Andreas Guhl, Hanspeter Gantenbein und Hansjörg Brunner vom 6. Mai 2015 'Finanzierung von Familienzulagen - Der die bundesrechtliche Vorgabe übersteigende Teil der Familienzulage soll jeweils durch Beiträge der ArbeitnehmerInnen finanziert werden'",12/IN 38/366,
,Müller,Ulrich,Weinfelden,CVP,Einfache Anfrage von Ulrich Müller vom 1. Juli 2015 'Outlet Edelreich in Hasli bei Wigoltingen',12/EA 135/378,
,Dransfeld,Peter,Ermatingen,SP,"Einfache Anfrage von Peter Dransfeld, Daniel Eugster und Stefan Leuthold vom 1. Juli 2015 'Wie weiter mit Thurgauer Solarwärme?'",12/EA 136/380,
274,Wiesli,Jürg,Dozwil,SVP,Einfache Anfrage von Jürg Wiesli vom 9. September 2015 'Benachteiligung von Schweizer Medizin-Studierenden und Entzug von Nachwuchsärzten aus Osteuropa',12/EA 146/395,
,Winiger,Katharina,Frauenfeld,GP,"Einfache Anfrage von Katharina Winiger vom 9. September 2015 'Vergabe von Sitzen in Verwaltungsräten, Stiftungen, Kommissionen, Beiräten etc. durch den Regierungsrat'",12/EA 147/396,
283,Auer,Jacob,Arbon,SP,"Einfache Anfrage von Jacob Auer vom 28. September 2015 'Freiwillige Arbeit, wie lange noch freiwillig?'",12/EA 149/400,
,Rutishauser,Matthias,Lengwil,SVP,"Interpellation von Matthias Rutishauser vom 2. Dezember 2015 'Ende der Anti-Littering-Kampagne, Problem gelöst?'",12/IN 44/422,
,Knöpfli,Walter,Kesswil,SVP,"Motion von Ruedi Zbinden, Walter Knöpfli und Martin Salvisberg vom 16. Dezember 2015 'Verzicht auf Rückzonungen bei der Teilrevision des kantonalen Richtplans (KRP)'",12/MO 41/426,
269,Salvisberg,Martin,Amriswil,SVP,"Motion von Ruedi Zbinden, Walter Knöpfli und Martin Salvisberg vom 16. Dezember 2015 'Verzicht auf Rückzonungen bei der Teilrevision des kantonalen Richtplans (KRP)'",12/MO 41/426,
,Berner,Markus,Amriswil,BDP,Einfache Anfrage von Markus Berner und Andreas Guhl vom 27. Januar 2016 'Änderung der Sicherheitslage',12/EA 161/433,
,Brägger,Joe,Amriswil,GP,Einfache Anfrage von Joe Brägger und Didi Feuerle vom 27. Januar 2016 'Verschmutzung Salmsacher Aach - Einzelfall oder Spitze des Eisbergs?,12/EA 162/434,
,Martin,Urs,Romanshorn,SVP,Einfache Anfrage von Urs Martin vom 27. Januar 2016 'Bewilligung von wiederkehrenden Ausgaben aus dem Lotteriefonds im Umfang von 3.5 Millionen Franken',12/EA 163/435,
,Berner,Markus,Amriswil,BDP,"Interpellation von Markus Berner, Peter Dransfeld, Toni Kappeler und Reto Lagler vom 23. März 2016 'Lehrerberuf zwischen Traumberuf und Pflichterfüllung'",12/IN 48/458,
,Martin,Urs,Romanshorn,SVP,Interpellation von Urs Martin vom 4. Mai 2016 'Kulturstiftung des Kantons Thurgau: ein Selbstbedienungsladen?',12/IN 49/491,
,Kern,Barbara,Kreuzlingen,SP,Einfache Anfrage von Brigitta Hartmann und Barbara Kern vom 4. Mai 2016 'Geeignete Unterbringungs- und Betreuungsstruktur der unbegleiteten minderjährigen Asylsuchenden (UMA)',12/EA 184/493,
,Dähler,Anita,Mammern,CVP,Interpellation von Anita Dähler vom 2. Juli 2008 'Mammographie-Screening-Programm zur Brustkrebs-Früherkennung',08/IN 4/26,
,Ritzi,Ernst,Sulgen,GP,Einfache Anfrage Ernst Ritzi betreffend Interessenkonflikte im Zusammenhang mit dem Vermögensverlust der EKT Holding AG,08/EA 11/56,
,Bruggmann,Renate,Kradolf,SP,Einfache Anfrage Renate Bruggmann betreffend 'Streptomycin schadet dem guten Ruf des Thurgaus',08/EA 13/66,
,Martin,Urs,Oberaach,SVP,"Interpellation von Urs Martin vom 25. März 2009 'Zur Abklärung der Vorgänge und Verantwortlichkeiten im Zusammenhang mit dem EKT-Anlageverlust bei Lehman Brothers, zur Frage der Tragbarkeit des EKT-CEO und zum Verhalten des Regierungsrates'",08/IN 24/105,
,Oberholzer,Susanne,Frauenfeld,SP,"Einfache Anfrage der SP-Fraktion, vertreten durch Walter Hugentobler und Susanne Oberholzer, vom 6. Mai 2009 'Erweiterung des Velowegnetzes im Thurgau'",08/EA 37/123,
209,Zbinden,Ruedi,Mettlen,SVP,Interpellation von Ruedi Zbinden und Verena Herzog vom 26. August 2009 'Stärkung der praktischen Ausbildungsfächer an den Schulen',08/IN 30/152,
,Vonlanthen,Andrea,Arbon,SVP,Einfache Anfrage von Andrea Vonlanthen vom 26. August 2009 'Thurgauer Beitrag zum Lehrplan 21',08/EA 47/153,
,Eisenbart,August,Sirnach,CVP,Interpellation von August Eisenbart vom 4. November 2009 'Neue Spitalfinanzierung ab 2012 - Zukünftige Player auf der Spitalliste',08/IN 31/169,
,Gantenbein,Hanspeter,Wuppenau,SVP,Interpellation von Hanspeter Gantenbein vom 17. Februar 2010 'Deutsche Einmischung in Thurgauer Angelegenheiten - Massnahmen und künftiger gegenseitiger Umgang',08/IN 37/198,
,Arnold,Max,Weiningen,SVP,"Motion von Andreas Niklaus, Max Arnold und David Zimmermann vom 3. März 2010 'Bessere Abstimmung der Finanz- auf die Raumplanungspolitik'",08/MO 30/206,
210,Zimmermann,David,Braunau,SVP,"Motion von Andreas Niklaus, Max Arnold und David Zimmermann vom 3. März 2010 'Bessere Abstimmung der Finanz- auf die Raumplanungspolitik'",08/MO 30/206,
,Wälti,Bernhard,Freidorf,SP,Interpellation von Christa Thorner und Dr. Bernhard Wälti vom 31. März 2010 'Rauschtrinken im Thurgau',08/IN 38/218,
,Vonlanthen,Andrea,Arbon,SVP,Interpellation von Andrea Vonlanthen vom 5. Mai 2010 'Der Zürcher Zeitungsdeal und die Konsequenzen für den Thurgau',08/IN 41/241,
,Mettler,Ruth,Wilen b. Wil,FDP,Interpellation von Ruth Mettler vom 5. Mai 2010 'Einheitliche Maturitätsprüfungen an Thurgauer Kantonsschulen und an der pädagogischen Maturitätsschule',08/IN 42/242,
,Merz-Abt,Thomas,Weinfelden,CVP,Interpellation von Dr. Thomas Merz vom 5. Mai 2010 'Integration der Imame im Kanton Thurgau',08/IN 45/245,
