nr,nachname,vorname,ort,partei,titel,geschaeftsnummer,erstunterzeichner
387,Stricker,Christian,,EVP,"Interpellation von Elisabeth Rickenbach, Roland Wyss, Mathias Dietz, Christian Stricker, Christina Fäsi, Roger Stieger vom 2. Oktober 2023 ""Gerechtere Wahlen dank doppeltem Pukelsheim ermöglichen""",20/IN 54/580,nein
398,Stieger,Roger,,EVP,"Interpellation von Elisabeth Rickenbach, Roland Wyss, Mathias Dietz, Christian Stricker, Christina Fäsi, Roger Stieger vom 2. Oktober 2023 ""Gerechtere Wahlen dank doppeltem Pukelsheim ermöglichen""",20/IN 54/580,nein
264,Leuthold,Stefan,,GLP,"Interpellation von Peter Dransfeld, Elina Müller, Stefan Leuthold vom 2. Oktober 2023 ""Kreislaufwirtschaft im Thurgauer Bauwesen""",20/IN 55/581,nein
391,Wittwer,Marcel,,EDU,"Einfache Anfrage von Marcel Wittwer vom 8. November 2023 ""Dem Antisemitismus wehren""",20/EA 239/592,ja
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld vom 8. November 2023 ""Hassreden und Gewaltverherrlichung""",20/EA 240/593,ja
6,Baumann,Kurt,,SVP,"Parlamentarische Initiative von Bruno Lüscher, Barbara Dätwyler, Martina Pfiffner Müller, Kurt Baumann, Isabelle Vonlanthen-Specker, Hans Feuz , Alexander Sigg vom 22. November 2023 ""Selbstbestimmung am Lebensende auch in Pflegeeinrichtungen""",20/PI 13/598,nein
400,Sigg,Alexander,,GLP,"Parlamentarische Initiative von Alexander Sigg, Celina Hug vom 22. November 2023 ""Verfügbare IPV-Gelder gerechter verteilen""",20/PI 14/599,ja
401,Hug,Celina,,GLP,"Parlamentarische Initiative von Alexander Sigg, Celina Hug vom 22. November 2023 ""Verfügbare IPV-Gelder gerechter verteilen""",20/PI 14/599,nein
318,Schenk,Peter,,EDU,"Einfache Anfrage von Peter Schenk, Marcel Wittwer vom 22. November 2023 ""Long Covid und Post Vac""",20/EA 243/603,ja
365,Mühlemann,Stefan,,SVP,"Parlamentarische Initiative von Ruedi Zbinden, Eveline Bachmann, Stefan Mühlemann vom 20. Dezember 2023 ""Windkraft im Thurgau: Mitbestimmung fixieren und Akzeptanz stärken""",20/PI 15/617,nein
312,Butscher-Indergand,Aline,,SVP,"Interpellation von Aline Indergand, Mathias Tschanen vom 20. Dezember 2023 ""Stellenentwicklung in den Ämtern""",20/IN 58/618,ja
283,Auer,Jacob,,SP,"Interpellation von Jacob Auer vom 20. Dezember 2023 ""Verschiebung der Baufristen bei Unwetter und Hitzewellen""",20/IN 59/619,ja
312,Butscher-Indergand,Aline,,SVP,"Interpellation von Oliver Martin, Stefan Mühlemann, Aline Indergand vom 20. Dezember 2023 ""Tempo 30 auf Kantonsstrassen im Thurgau""",20/IN 60/620,nein
368,Pfiffner Müller,Martina,,FDP,"Interpellation von Martina Pfiffner Müller, Mathias Tschanen, Beda Stähelin, Viktor Gschwend vom 20. Dezember 2023 ""Stand der Digitalisierung im Kanton Thurgau""",20/IN 61/621,ja
252,Fisch,Ueli,,GLP,"Einfache Anfrage von Ueli Fisch vom 20. Dezember 2023 ""Hochspezialisierte Medizin - Gesundheitsbürokratie gefährdet Patientensicherheit""",20/EA 247/622,ja
152,Wohlfender-Oertig,Edith,,SP,"Einfache Anfrage von Edith Wohlfender vom 20. Dezember 2023 ""Umsetzung Pflegeinitiative - Klatschen alleine ist für die Pflege zu wenig - es braucht genügend finanzielle Mittel - jetzt!""",20/EA 248/623,ja
352,Müller,Elina,,SP,"Einfache Anfrage von Edith Wohlfender-Oertig, Elina Müller vom 24. Januar 2024 ""Veranlagungsstau bei den Steuern und dessen Auswirkungen""",20/EA 252/630,nein
363,Martin,Oliver,,SVP,"Einfache Anfrage von Oliver Martin, Cornelia Büchi vom 24. Januar 2024 ""Wie wird die künstliche Intelligenz die Verwaltung des Kantons Thurgau verändern?""",20/EA 253/631,ja
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld vom 24. Januar 2024 ""Thurgauer Medienlandschaft und Stellenstreichungen""",20/EA 254/632,ja
249,Dransfeld,Peter,,GRÜNE,"Einfache Anfrage von Peter Dransfeld vom 24. Januar 2024 ""Thurgauer Industrie und CO2""",20/EA 255/633,ja
315,Opprecht,Andreas,,FDP,"Einfache Anfrage von Andreas Opprecht vom 24. Januar 2024 ""Ist der Kanton Thurgau für weitere Krisen gewappnet?""",20/EA 257/635,ja
396,Hess,Linda,,SP,"Motion von Marina Bruggmann, Sonja Wiesmann Schätzle, Jacob Auer, Markus Birk, Markus Brüllmann, Barbara Dätwyler Weber, Linda Hess, Christian Koch, Felix Meier, Elina Müller, Martin Nafzger, Turi Schallenberg, Edith Wohlfender-Oertig vom 24. Januar 2024 ""Standesinitiative: Die Zeit ist reif - eine Einheitskrankenkasse im Thurgau""",20/MO 51/636,nein
6,Baumann,Kurt,,SVP,"Parlamentarische Initiative von Kurt Baumann, Hans Eschenmoser, Anders Stokholm, Ueli Fisch, Iwan Wüst-Singer vom 24. Januar 2024 ""Ergänzende Rechtsgrundlage Jagdschiessstand""",20/PI 16/637,ja
307,Eschenmoser,Hans,,SVP,"Parlamentarische Initiative von Kurt Baumann, Hans Eschenmoser, Anders Stokholm, Ueli Fisch, Iwan Wüst-Singer vom 24. Januar 2024 ""Ergänzende Rechtsgrundlage Jagdschiessstand""",20/PI 16/637,nein
