startzeit,endzeit,messstelle,messwert,messstationid,indikator
2025-09-18T02:00:00+00:00,2025-09-18T03:00:00+00:00,"Konstanz, Wallgutstrasse",16.58,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T03:00:00+00:00,2025-09-18T04:00:00+00:00,"Konstanz, Wallgutstrasse",15.02,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T05:00:00+00:00,2025-09-18T06:00:00+00:00,"Konstanz, Wallgutstrasse",14.26,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T06:00:00+00:00,2025-09-18T07:00:00+00:00,"Konstanz, Wallgutstrasse",13.58,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T10:00:00+00:00,2025-09-18T11:00:00+00:00,"Konstanz, Wallgutstrasse",34.38,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T12:00:00+00:00,2025-09-18T13:00:00+00:00,"Konstanz, Wallgutstrasse",41.93,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T17:00:00+00:00,2025-09-18T18:00:00+00:00,"Konstanz, Wallgutstrasse",53.59,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T20:00:00+00:00,2025-09-18T21:00:00+00:00,"Konstanz, Wallgutstrasse",30.99,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-19T08:00:00+00:00,2025-09-19T09:00:00+00:00,"Konstanz, Wallgutstrasse",20.36,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-19T10:00:00+00:00,2025-09-19T11:00:00+00:00,"Konstanz, Wallgutstrasse",29.2,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-19T12:00:00+00:00,2025-09-19T13:00:00+00:00,"Konstanz, Wallgutstrasse",37.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-19T15:00:00+00:00,2025-09-19T16:00:00+00:00,"Konstanz, Wallgutstrasse",50.85,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-19T21:00:00+00:00,2025-09-19T22:00:00+00:00,"Konstanz, Wallgutstrasse",29.58,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon potentiell (O3+NO2)
2025-09-18T02:00:00+00:00,2025-09-18T03:00:00+00:00,"Konstanz, Wallgutstrasse",22.88,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T03:00:00+00:00,2025-09-18T04:00:00+00:00,"Konstanz, Wallgutstrasse",20.19,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T08:00:00+00:00,2025-09-18T09:00:00+00:00,"Konstanz, Wallgutstrasse",24.06,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T09:00:00+00:00,2025-09-18T10:00:00+00:00,"Konstanz, Wallgutstrasse",36.77,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T17:00:00+00:00,2025-09-18T18:00:00+00:00,"Konstanz, Wallgutstrasse",84.44,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T18:00:00+00:00,2025-09-18T19:00:00+00:00,"Konstanz, Wallgutstrasse",80.17,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T23:00:00+00:00,2025-09-19T00:00:00+00:00,"Konstanz, Wallgutstrasse",24.91,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T04:00:00+00:00,2025-09-19T05:00:00+00:00,"Konstanz, Wallgutstrasse",13.11,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T06:00:00+00:00,2025-09-19T07:00:00+00:00,"Konstanz, Wallgutstrasse",4.18,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T08:00:00+00:00,2025-09-19T09:00:00+00:00,"Konstanz, Wallgutstrasse",27.31,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T11:00:00+00:00,2025-09-19T12:00:00+00:00,"Konstanz, Wallgutstrasse",58.27,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T16:00:00+00:00,2025-09-19T17:00:00+00:00,"Konstanz, Wallgutstrasse",95.98,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-19T21:00:00+00:00,2025-09-19T22:00:00+00:00,"Konstanz, Wallgutstrasse",18.22,9fc10577-4551-49aa-9ebc-2a882720c0ac,Ozon
2025-09-18T02:00:00+00:00,2025-09-18T03:00:00+00:00,"Konstanz, Wallgutstrasse",4.09,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T04:00:00+00:00,2025-09-18T05:00:00+00:00,"Konstanz, Wallgutstrasse",4.28,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T05:00:00+00:00,2025-09-18T06:00:00+00:00,"Konstanz, Wallgutstrasse",4.79,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T11:00:00+00:00,2025-09-18T12:00:00+00:00,"Konstanz, Wallgutstrasse",5.88,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T12:00:00+00:00,2025-09-18T13:00:00+00:00,"Konstanz, Wallgutstrasse",6.98,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T16:00:00+00:00,2025-09-18T17:00:00+00:00,"Konstanz, Wallgutstrasse",5.44,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T19:00:00+00:00,2025-09-18T20:00:00+00:00,"Konstanz, Wallgutstrasse",5.98,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T20:00:00+00:00,2025-09-18T21:00:00+00:00,"Konstanz, Wallgutstrasse",8.32,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T21:00:00+00:00,2025-09-18T22:00:00+00:00,"Konstanz, Wallgutstrasse",9.61,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T22:00:00+00:00,2025-09-18T23:00:00+00:00,"Konstanz, Wallgutstrasse",7.43,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-18T23:00:00+00:00,2025-09-19T00:00:00+00:00,"Konstanz, Wallgutstrasse",6.51,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T00:00:00+00:00,2025-09-19T01:00:00+00:00,"Konstanz, Wallgutstrasse",5.79,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T02:00:00+00:00,2025-09-19T03:00:00+00:00,"Konstanz, Wallgutstrasse",5.16,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T03:00:00+00:00,2025-09-19T04:00:00+00:00,"Konstanz, Wallgutstrasse",5.46,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T04:00:00+00:00,2025-09-19T05:00:00+00:00,"Konstanz, Wallgutstrasse",5.36,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T07:00:00+00:00,2025-09-19T08:00:00+00:00,"Konstanz, Wallgutstrasse",7.42,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T09:00:00+00:00,2025-09-19T10:00:00+00:00,"Konstanz, Wallgutstrasse",7.4,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T11:00:00+00:00,2025-09-19T12:00:00+00:00,"Konstanz, Wallgutstrasse",7.05,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-19T17:00:00+00:00,2025-09-19T18:00:00+00:00,"Konstanz, Wallgutstrasse",7.47,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub (PM2.5)
2025-09-20T00:00:00+00:00,2025-09-20T01:00:00+00:00,"Konstanz, Wallgutstrasse",14.37,9fc10577-4551-49aa-9ebc-2a882720c0ac,Feinstaub PM10
