timestamp,g107_no2,g107_03,g107_pm25,g125_no2,g125_o3,g125_pm25,g131_no2,g131_o3,g131_pm25,timestamp_text,anfangszeit
2022-03-05T13:30:00+00:00,1.9,88.6,18.8,2.7,77.4,17.2,5.9,74.0,18.9,2022-03-05T14:30:00+0100,05.03.2022 14:30:00
2022-03-24T03:30:00+00:00,23.5,30.9,35.6,28.3,13.0,33.2,24.3,21.7,35.2,2022-03-24T04:30:00+0100,24.03.2022 04:30:00
2022-03-21T08:00:00+00:00,61.2,31.1,25.4,58.5,46.3,23.3,68.7,57.7,24.7,2022-03-21T09:00:00+0100,21.03.2022 09:00:00
2022-03-21T15:30:00+00:00,16.3,99.0,10.5,17.8,88.8,10.0,22.8,93.2,10.2,2022-03-21T16:30:00+0100,21.03.2022 16:30:00
2022-03-22T08:30:00+00:00,68.7,62.2,18.9,55.5,41.1,17.7,61.6,51.3,19.0,2022-03-22T09:30:00+0100,22.03.2022 09:30:00
2022-03-20T15:30:00+00:00,4.6,108.3,11.4,5.5,99.9,11.4,8.6,96.4,9.7,2022-03-20T16:30:00+0100,20.03.2022 16:30:00
2022-03-18T03:00:00+00:00,0.0,51.1,25.1,0.0,34.9,23.2,0.2,33.3,23.9,2022-03-18T04:00:00+0100,18.03.2022 04:00:00
2022-03-19T15:00:00+00:00,3.1,114.3,28.1,1.9,106.7,25.8,14.0,95.2,26.8,2022-03-19T16:00:00+0100,19.03.2022 16:00:00
2022-03-19T16:00:00+00:00,10.7,110.7,31.0,8.6,103.5,28.9,14.2,98.0,29.3,2022-03-19T17:00:00+0100,19.03.2022 17:00:00
2022-03-08T08:00:00+00:00,15.9,59.1,42.2,16.6,44.7,38.9,16.1,48.5,42.0,2022-03-08T09:00:00+0100,08.03.2022 09:00:00
2022-03-08T11:00:00+00:00,2.9,76.2,44.5,2.7,64.4,40.8,9.4,58.3,43.9,2022-03-08T12:00:00+0100,08.03.2022 12:00:00
2022-03-08T13:30:00+00:00,6.3,81.2,46.2,7.5,68.6,43.1,10.7,65.8,45.2,2022-03-08T14:30:00+0100,08.03.2022 14:30:00
2022-03-08T22:00:00+00:00,35.4,31.7,43.8,39.2,14.4,40.9,40.2,22.5,44.6,2022-03-08T23:00:00+0100,08.03.2022 23:00:00
2022-03-11T03:30:00+00:00,23.1,39.1,16.0,17.4,29.9,14.6,16.4,35.7,15.7,2022-03-11T04:30:00+0100,11.03.2022 04:30:00
2022-03-05T23:30:00+00:00,16.4,46.7,20.5,17.8,30.5,18.8,15.9,33.1,20.5,2022-03-06T00:30:00+0100,06.03.2022 00:30:00
2022-03-06T00:00:00+00:00,16.4,42.7,20.2,18.7,24.9,18.7,14.2,30.9,20.8,2022-03-06T01:00:00+0100,06.03.2022 01:00:00
