obj_id,timestamp,wert,parameter,einheit,verantwortlichkeit_organisation,messgruppierung_ortsbezeichnung
22960042,2025-09-19T23:00:00+00:00,11.76,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-24T23:00:00+00:00,11.83,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-25T23:00:00+00:00,11.85,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-09-30T23:00:00+00:00,11.94,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-05T23:00:00+00:00,12.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-09T23:00:00+00:00,12.05,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-13T23:00:00+00:00,12.07,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-14T23:00:00+00:00,12.1,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-18T23:00:00+00:00,12.14,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-21T23:00:00+00:00,12.15,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-22T23:00:00+00:00,12.15,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-28T23:00:00+00:00,12.2,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-10-29T23:00:00+00:00,12.21,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-02T23:00:00+00:00,12.23,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-05T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-07T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-08T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-12T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-15T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-16T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-17T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-19T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-21T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-22T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-11-23T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-01T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-05T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-08T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-12T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-15T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-18T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-20T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-26T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-30T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2025-12-31T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-01T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-08T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-12T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-13T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-16T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-17T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-19T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-20T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-01-27T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-01T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-03T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-04T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-06T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-08T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-11T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-13T23:00:00+00:00,11.61,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-14T23:00:00+00:00,11.59,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-15T23:00:00+00:00,11.57,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-23T23:00:00+00:00,11.36,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-24T23:00:00+00:00,11.36,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-26T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-02-28T23:00:00+00:00,11.28,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-01T23:00:00+00:00,,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-05T23:00:00+00:00,11.26,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-16T23:00:00+00:00,11.08,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-20T23:00:00+00:00,11.02,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-22T23:00:00+00:00,10.99,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-23T23:00:00+00:00,10.98,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-24T23:00:00+00:00,10.96,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-26T23:00:00+00:00,10.94,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-27T23:00:00+00:00,10.93,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-29T23:00:00+00:00,10.91,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-03-31T23:00:00+00:00,10.89,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-01T23:00:00+00:00,10.88,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-04T23:00:00+00:00,10.85,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-05T23:00:00+00:00,10.84,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-06T23:00:00+00:00,10.84,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-08T23:00:00+00:00,10.82,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-18T23:00:00+00:00,10.68,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-20T23:00:00+00:00,10.66,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-25T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-26T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-04-29T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-02T23:00:00+00:00,10.63,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-08T23:00:00+00:00,10.63,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-09T23:00:00+00:00,10.63,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-10T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-11T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-12T23:00:00+00:00,10.64,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-17T23:00:00+00:00,10.66,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-18T23:00:00+00:00,10.66,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-20T23:00:00+00:00,10.68,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22960042,2026-05-22T23:00:00+00:00,10.69,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Allmend A3
22930042,2026-02-20T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-02-23T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-02-25T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-02-26T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-02-27T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-01T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-03T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-04T23:00:00+00:00,11.0,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
22930042,2026-03-11T23:00:00+00:00,11.01,Wassertemperatur,°C,Kanton Thurgau Amt für Umwelt,Schlattertal
