datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2023-11-08,2024-01-10,20/EA 239/592,592,"Einfache Anfrage von Marcel Wittwer vom 8. November 2023 ""Dem Antisemitismus wehren""",Einfache Anfrage,,Polizeikorps / interkantonale Zusammenarbeit,,,Abgeschlossen,Departement für Justiz und Sicherheit,1,,,
2023-11-22,2023-12-06,20/WA 101/595,595,Amtsgelübde von Kantonsrat Markus Brüllmann,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2023-12-06,2024-12-04,20/VI 1/596,596,"Kantonale Volksinitiative ""Thurgauer Solarinitiative""",Volksinitiative,,"Initiativen, Referenden",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,,,,
2023-11-22,2024-10-23,20/IN 57/600,600,"Interpellation von Isabelle Vonlanthen-Specker, Marina Bruggmann, Erika Hanhart-Hugentobler, Katharina Zürcher vom 22. November 2023 ""Chronisches Fatigue Syndrom/Long Covid: Was unternimmt der Kanton Thurgau?""",Interpellation,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Finanzen und Soziales,4,42,46,
2023-11-22,2024-01-24,20/EA 241/601,601,"Einfache Anfrage von Reto Ammann vom 22. November 2023 ""ökonomische wie qualitative Folgen von quantitativem Wachstum""",Einfache Anfrage,,"Baugesetz; Planungen Hoch- und Tiefbau, Baulinien",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2023-11-22,2024-01-24,20/EA 242/602,602,"Einfache Anfrage von Christina Fäsi, Elisabeth Rickenbach vom 22. November 2023 ""Liefer- und Versorgungsengpässe bei den Medikamenten im Kanton Thurgau""",Einfache Anfrage,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,2,,,
2023-12-20,2024-01-24,20/WA 103/605,605,Wahl des Präsidiums und der Mitglieder der Thurgauer Kantonalbank für die Amtsdauer vom 2024-2028,Wahlgeschäft,,"TKB, Bankenaufsicht",,,Abgeschlossen,Grosser Rat,,,,
2023-12-20,2024-05-08,20/BS 60/606,606,Beschluss des Grossen Rates über die Teilrevision des Kantonalen Richtplans 2022/2023 (Stand: November 2023),Beschluss,,,,,Abgeschlossen,Departement für Bau und Umwelt,,,,
2023-12-06,2024-02-28,20/EA 245/607,607,"Einfache Anfrage von Erika Hanhart vom 6. Dezember 2023 ""Giftcocktail in Thurgauer Schutzgebieten von nationaler Bedeutung!""",Einfache Anfrage,,"Natur-, Pflanzen-, Tierschutz",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-01-24,2024-03-20,20/EA 251/629,629,"Einfache Anfrage von Edith Wohlfender-Oertig vom 24. Januar 2024 ""Wil-West - Grundidee lägst überholt?""",Einfache Anfrage,,"Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-01-24,2024-03-20,20/EA 256/634,634,"Einfache Anfrage von Peter Dransfeld vom 24. Januar 2024 ""Magistraler Wahlkampf""",Einfache Anfrage,,Majorzwahlen,,,Abgeschlossen,Staatskanzlei,1,,,
2024-01-24,2024-09-11,20/MO 51/636,636,"Motion von Marina Bruggmann, Sonja Wiesmann Schätzle, Jacob Auer, Markus Birk, Markus Brüllmann, Barbara Dätwyler Weber, Linda Hess, Christian Koch, Felix Meier, Elina Müller, Martin Nafzger, Turi Schallenberg, Edith Wohlfender-Oertig vom 24. Januar 2024 ""Standesinitiative: Die Zeit ist reif - eine Einheitskrankenkasse im Thurgau""",Motion,,"Kranken- und Unfallversicherung, Vereinbarungen",,,Abgeschlossen,Departement für Finanzen und Soziales,13,39,52,
2024-01-24,2025-02-05,20/MO 52/638,638,"Motion von Roger Stieger, Peter Bühler, Simon Wolfer, Stephan Tobler, Marina Bruggmann, Christian Mader, Stefan Leuthold, Cornelia Hasler-Roost, Bernhard Braun vom 24. Januar 2024 ""Einführung einer Lenkungsabgabe: Kurtaxe (Übernachtungstaxe) im Rahmen eines Tourismusförderungsgesetzes""",Motion,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,9,65,74,
2024-01-24,2025-03-05,20/IN 62/639,639,"Interpellation von Barbara Dätwyler Weber, Edith Wohlfender-Oertig vom 24. Januar 2024 ""Tarife der ambulanten Physiotherapie endlich der Teuerung anpassen""",Interpellation,,"Kranken- und Unfallversicherung, Vereinbarungen",,,Abgeschlossen,Departement für Finanzen und Soziales,2,59,61,
2024-02-14,2024-07-03,20/GE 30/640,640,Gesetz über den Solidaritätsbeitrag für Betroffene von Medikamententests (GSBM),Gesetz,,,,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2024-02-14,2024-06-05,20/WE 10/641,641,Finanzstrategie 2024-2030,Weitere Geschäfte,,,,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2024-02-14,2024-04-17,20/EA 260/645,645,"Einfache Anfrage von Cornelia Büchi, Hermann Lei vom 14. Februar 2024 ""Öffentliche Sicherheit am Bushof Arbon""",Einfache Anfrage,,Polizeikorps / interkantonale Zusammenarbeit,,,Abgeschlossen,Departement für Justiz und Sicherheit,2,,,
2024-02-14,2024-04-17,20/EA 261/646,646,"Einfache Anfrage von Cornelia Büchi vom 14. Februar 2024 ""Landerwerb""",Einfache Anfrage,,"Sachenrecht, Grundbesitz, Grundbuch, Vermessung",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-02-14,2024-04-17,20/EA 262/647,647,"Einfache Anfrage von Cornelia Büchi, Hermann Lei vom 14. Februar 2024 ""Stellenbesetzung durch Inländer und ältere Arbeitnehmende""",Einfache Anfrage,,Staatspersonal: einzelne Personalentscheide,,,Abgeschlossen,Departement für Finanzen und Soziales,2,,,
2024-02-28,2025-01-22,20/MO 54/649,649,"Motion von Ueli Fisch, Stefan Leuthold, Anders Stokholm, Gabriel Macedo, Elisabeth Rickenbach, Sonja Wiesmann Schätzle, Sandra Reinhart, Iwan Wüst-Singer, Christian Mader vom 28. Februar 2024 ""Standesinitiative: Stärkung des Wahlrechts bei den Nationalratswahlen""",Motion,,"Initiativen, Referenden",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,9,56,65,
2024-02-28,2026-03-18,20/MO 57/652,652,"Motion von Beat Stump, Raphael Stutz, Jürg Wiesli vom 28. Februar 2024 ""Bezahlkarte für Asylbewerber""",Motion,,"Niederlassung, Aufenthalt, Asyl",,,Abgeschlossen,Departement für Finanzen und Soziales,3,45,48,
2024-02-28,2025-02-19,20/IN 64/654,654,"Interpellation von Cornelia Hasler-Roost, Kilian Imhof vom 28. Februar 2024 ""Wie viel Computer verträgt die Kindheit?""",Interpellation,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,2,60,62,
2024-02-28,2024-05-08,20/EA 263/655,655,"Einfache Anfrage von Matthias Kreier vom 28. Februar 2024 ""CO2 – Emissionshandel - Wie sieht die Wirksamkeit dieses Reduktionsinstruments für die Klimastrategie im Kanton Thurgau aus?""",Einfache Anfrage,,"Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-02-28,2024-05-08,20/EA 264/656,656,"Einfache Anfrage von Peter Bühler, Kilian Imhof vom 28. Februar 2024 ""Politische Bildung an der Volksschule – Nachhaltiger Unterricht oder reiner Papiertiger?""",Einfache Anfrage,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,2,,,
2024-04-17,2024-05-08,20/BS 62/659,659,Beschluss des Grossen Rates über den Geschäfts- und Nachhaltigkeitsbericht 2023 und die Jahresrechnung 2023 der Thurgauer Kantonalbank (TKB) sowie über die Wahl der Revisionsstelle,Beschluss,,"TKB, Bankenaufsicht",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2024-04-17,2024-06-05,20/BS 63/663,663,Geschäftsbericht 2023 der Gebäudeversicherung Thurgau,Beschluss,,"TGV, Feuerversicherung",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2024-04-17,2024-06-05,20/BS 64/664,664,Geschäftsbericht 2023 der Pädagogischen Hochschule Thurgau,Beschluss,,"Hochschulen: Universitäten, Technika, Höhere Fachschule",,,Abgeschlossen,Departement für Erziehung und Kultur,,,,
2024-03-20,2024-05-08,20/EA 265/666,666,"Einfache Anfrage von Peter Bühler vom 20. März 2024 ""Plakatierungs-Dschungel im Thurgau - erfolgreiche Regulierung oder reine Schikane?""",Einfache Anfrage,,"Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-03-20,2024-06-05,20/EA 267/668,668,"Einfache Anfrage von Paul Koch, Gottfried Möckli vom 20. März 2024 ""Bio-Methanol, in Zukunft auch im Thurgau?""",Einfache Anfrage,,"Andere Energien: Gas, Fernwärme, Solarenergie etc.",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,,,
2024-04-17,2024-06-19,20/EA 269/673,673,"Einfache Anfrage von Ueli Fisch vom 17. April 2024 ""Sollen Kantone das Bundesdefizit aus der 13. AHV-Rente mitfinanzieren?""",Einfache Anfrage,,"AHV, IV, EL",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-04-17,2024-06-19,20/EA 270/674,674,"Einfache Anfrage von Vico Zahnd vom 17. April 2024 ""Aufgeblähtes Nettovermögen korrigieren!""",Einfache Anfrage,,"Finanzhaushalt, Finanzverwaltung und -kontrolle",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-04-17,2024-06-05,20/EA 271/675,675,"Einfache Anfrage von Patrick Siegenthaler vom 17. April 2024 ""Weshalb ist die Verfügbarkeit von wahlen.tg an Wahltagen regelmässig stark eingeschränkt?""",Einfache Anfrage,,"Gebiet, Organisation, Reglemente, Verwaltung",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2024-06-19,2024-08-14,20/BS 66/680,680,Rechenschaftsbericht 2023 des Obergerichts,Beschluss,,,,,Abgeschlossen,,,,,
2024-06-19,2024-08-14,20/BS 67/681,681,Rechenschaftsbericht 2023 des Verwaltungsgerichts,Beschluss,,,,,Abgeschlossen,,,,,
2024-05-22,2024-05-22,24/WA 7/7,7,Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2024/2025,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 5/5,5,"Amtsgelübde von Fabienne Hanselmann, Ersatzmitglied Verwaltungsgericht",Wahlgeschäft,,"Richterliche Behörden, Anwaltswesen",,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 4/4,4,"Amtsgelübde von Sarah Nobs, Ersatzmitglied Obergericht",Wahlgeschäft,,"Richterliche Behörden, Anwaltswesen",,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 1/1,1,Amtsgelübde der neugewählten Mitglieder des Grossen Rates,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 13/13,13,Wahl der Mitglieder und des Präsidiums der Raumplanungskommission für die Amtsdauer 2024-2028,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 15/15,15,Wahl der Mitglieder und des Präsidiums der Gesetzgebungs- und Redaktionskommission für die Amtsdauer 2024-2028,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,Grosser Rat,,,,
2024-05-22,2024-05-22,24/WA 9/9,9,Wahl des Präsidiums und des Vizepräsidiums des Regierungsrates für das Amtsjahr 2024/2025,Wahlgeschäft,,Regierungsrat,,,Abgeschlossen,Grosser Rat,,,,
2024-06-05,2024-08-28,24/BS 2/21,21,Beschluss des Grossen Rates über den Nachtragskredit zur Erhöhung des Globalbudgets 2024 der Steuerverwaltung,Beschluss,,"Budget, Finanzplan, Staatsrechnung",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2024-07-03,2024-08-28,24/EA 7/37,37,"Einfache Anfrage von Michèle Strähl-Obrist vom 3. Juli 2024 ""Haben wir bald Thurgauer Polizisten ohne Schweizer Pass?""",Einfache Anfrage,,"Militärwesen, Beförderungen, Schiesswesen",,,Abgeschlossen,Departement für Justiz und Sicherheit,1,,,
2024-07-03,2024-09-11,24/EA 6/36,36,"Einfache Anfrage von Stefan Wolfer vom 3. Juli 2024 ""Amtsenthebungsverfahren von Einzelmitgliedern in Exekutivämtern von Behörden""",Einfache Anfrage,,"Gebiet, Organisation, Reglemente, Verwaltung",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,1,,,
2024-07-03,2024-09-11,24/EA 8/38,38,"Einfache Anfrage von Sabina Peter Köstli, Barbara Dätwyler Weber vom 3. Juli 2024 ""Schutz und Prävention für Sexarbeitende im Thurgau""",Einfache Anfrage,,Polizeikorps / interkantonale Zusammenarbeit,,,Abgeschlossen,Departement für Justiz und Sicherheit,2,,,
2024-08-14,2024-09-30,24/EA 9/43,43,"Einfache Anfrage von Hermann Lei vom 14. August 2024 ""Umsetzung Windenergie im Thurgau""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-06-05,2025-04-02,24/GE 3/20,20,"Änderung des Gesetzes über die Zivil- und Strafrechtspflege (ZSRG), der Verordnung des Grossen Rates über die Besoldung des Staatspersonals (BesVO), des Einführungsgesetzes zum Schweizerischen Zivilgesetzbuch (EG ZGB) und des Verantwortlichkeitsgesetzes (VerantwG)",Gesetz,,Zivilrechtspflege,,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2024-08-14,2024-09-30,24/EA 10/44,44,"Einfache Anfrage von Gabriel Macedo vom 14. August 2024 ""Negative Auswirkungen einer nationalen Erbschaftssteuer auf Familienunternehmen im Kanton Thurgau""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-07-03,2025-08-27,24/MO 6/40,40,"Motion von Stefan Leuthold, Patrick Siegenthaler, Marina Bruggmann, Sandra Reinhart, Christian Mader, Robin Spiri vom 3. Juli 2024 ""Wahlen und Abstimmungen im öffentlichen Raum sichtbar machen""",Motion,,,,,Abgeschlossen,Departement für Bau und Umwelt,6,50,56,
2024-10-23,2024-12-18,24/EA 24/75,75,"Einfache Anfrage von Robin Spiri vom 23. Oktober 2024 ""Bargeldlose Automaten auf Kantonsgebiet""",Einfache Anfrage,,"Gebiet, Organisation, Reglemente, Verwaltung",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-11-06,2024-12-18,24/EA 26/78,78,"Einfache Anfrage von Robin Spiri vom 6. November 2024 ""Food Waste reduzieren und Wegwerfkultur stoppen""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-11-06,2024-12-18,24/EA 31/83,83,"Einfache Anfrage von Raphael Stutz vom 6. November 2024 ""Wil West""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2024-11-06,2025-01-22,24/EA 32/84,84,"Einfache Anfrage von Andreas Wirth vom 6. November 2024 ""Selektives Sprachobligatorium - richtig selektioniert?""",Einfache Anfrage,,"Unterrichtswesen, Lehrerorganisation und -fortbildung",,,Abgeschlossen,Departement für Erziehung und Kultur,1,,,
2024-11-20,2025-01-22,24/EA 34/88,88,"Einfache Anfrage von Edith Wohlfender-Oertig, Kenny Greber, Traudi Schönegger vom 20. November 2024 ""Prävention bei Jugendlichen - eine neue Herausforderung für den Thurgau?""",Einfache Anfrage,,"Allgemeines, Organisation, Gesetz, Taxen",,,Abgeschlossen,Departement für Finanzen und Soziales,3,,,
2024-11-20,2026-04-29,24/IN 11/91,91,"Interpellation von Edith Wohlfender-Oertig, Elina Müller vom 20. November 2024 ""Ermordet, weil sie Frauen sind! Im Thurgau - ein politisches Thema?""",Interpellation,,Kantonsverfassung und Staatsverträge,,,InBearbeitung,Departement für Justiz und Sicherheit,2,57,59,
2025-02-19,2025-02-19,24/EB 2/98,98,Kantonsbürgerrechtsgesuche vom 19.02.2025,Einbürgerungsgesuch,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2025-01-22,2025-03-19,24/EA 39/99,99,"Einfache Anfrage von Sandrine Nikolic-Fuss vom 22. Januar 2025 ""Peregrina Stiftung: Einfluss des Kantons bei Lohnreduktionen der Peregrina Stiftung""",Einfache Anfrage,,Staatspersonal: generelle Fragen,,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2024-12-18,2025-09-10,24/GE 4/93,93,Änderung des Krankenversicherungsgesetzes (TG KVG),Gesetz,,,,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2025-01-22,2025-11-19,24/IN 13/106,106,"Interpellation von Elina Müller, Edith Wohlfender-Oertig, Bernhard Braun, Andreas Opprecht, Elisabeth Rickenbach, Stefan Leuthold vom 22. Januar 2025 ""Wie weiter mit der Axpo?""",Interpellation,,EKT (und NOK),,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,6,56,62,
2025-02-05,2025-04-02,24/EA 44/108,108,"Einfache Anfrage von Beat Stump vom 5. Februar 2025 ""Was passiert in diesem Palast?""",Einfache Anfrage,,"Konkordate, Zusammenarbeit mit anderen Kantonen",,,Abgeschlossen,Staatskanzlei,1,,,
2025-02-19,2025-05-07,24/EA 47/113,113,"Einfache Anfrage von Oliver Martin, Hermann Lei vom 19. Februar 2025 ""Wie denkt der Regierungsrat mit einem massiv höheren Bevölkerungswachstum als erwartet in unserem Kanton umzugehen?""",Einfache Anfrage,,Wirtschaftliche Entwicklung,,,Abgeschlossen,Departement für Bau und Umwelt,2,,,
2025-02-19,,24/MO 18/119,119,"Motion von Claude Brunner, Raffaela Strähl-D’Ambrosio, Ruedi Zbinden, Heinz Keller, Marina Bruggmann, Nicole Zeitner, Martina Pfiffner Müller, Franz Eugster, Isabelle Vonlanthen-Specker vom 19. Februar 2025 ""Anpassung Ausbildungsverpflichtung (Umsetzung Phase 1 der Pflegeinitiative)""",Motion,,"Berufe, Ausbildung, Schulen, Spitäler, Anstalten",,,InBearbeitung,Departement für Finanzen und Soziales,9,88,97,
2025-03-05,2025-05-07,24/EA 50/122,122,"Einfache Anfrage von Reto Ammann vom 5. März 2025 ""Regierungsrätliche Finanzstrategie - Fragen ein Jahr danach""",Einfache Anfrage,,"Finanzhaushalt, Finanzverwaltung und -kontrolle",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2025-03-05,2025-05-07,24/EA 51/123,123,"Einfache Anfrage von Stefan Leuthold, Nicole Zeitner vom 5. März 2025 ""Den öffentlichen Verkehr in der Region Untersee / Rhein stärken""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,2,,,
2025-03-19,2025-04-02,24/BS 8/126,126,Korrektur des Budgetbeschlusses des Grossen Rates vom 4. Dezember 2024,Beschluss,,,,,Abgeschlossen,,,,,
2025-03-19,2025-08-13,24/BS 9/127,127,Rechenschaftsbericht 2024 des Obergerichts,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2025-04-02,2025-06-18,24/BS 10/130,130,Geschäftsbericht 2024 der Pädagogischen Hochschule Thurgau,Beschluss,,"Hochschulen: Universitäten, Technika, Höhere Fachschule",,,Abgeschlossen,Departement für Erziehung und Kultur,,,,
2025-03-19,2025-11-05,24/AN 1/133,133,"Antrag nach § 52 GOGR von Oliver Martin, Dean Kradolfer, Marcel Wittwer, Edith Wohlfender vom 19. März 2025 ""Potenzial von Digital Asset Mining im Kanton Thurgau analysieren""",Antrag nach § 52 bzw. § 46 der Geschäftsordnung,,"Allgemeines, Energiegesetz, Kernenergie, Strahlenschutz",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,4,18,22,
2025-03-19,2025-05-21,24/EA 54/136,136,"Einfache Anfrage von Reto Ammann vom 19. März 2025 ""Kippt der See und geht dem Untersee schon bald der Sauerstoff aus?""",Einfache Anfrage,,"Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,Abgeschlossen,Departement für Bau und Umwelt,1,,,
2025-05-21,2025-05-21,24/WA 22/139,139,Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2025/2026,Wahlgeschäft,,Grosser Rat,,,Abgeschlossen,,,,,
2025-04-02,2025-06-18,24/EA 55/141,141,"Einfache Anfrage von Celina Hug, Nicole Zeitner vom 2. April 2025 ""Schutz und Unterbringung von Frauen in Gewaltsituationen im Kanton Thurgau""",Einfache Anfrage,,,,,Abgeschlossen,Departement für Justiz und Sicherheit,2,,,
2025-04-02,2025-06-18,24/EA 58/144,144,"Einfache Anfrage von Christian Stricker, Patrick Siegenthaler vom 2. April 2025 ""E-Voting im Kanton Thurgau""",Einfache Anfrage,,Abstimmungen,,,Abgeschlossen,Staatskanzlei,2,,,
2025-05-07,2024-07-03,24/WE 2/147,147,Finanzstrategie 2025-2031,Weitere Geschäfte,,,,,Abgeschlossen,,,,,
2025-05-07,2025-08-13,24/BS 15/151,151,Rechenschaftsbericht 2024 des Verwaltungsgerichts,Beschluss,,"Allgemeine Aufsicht, Verwaltungsrechtspflege",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2025-05-07,2026-03-04,24/MO 22/154,154,"Motion von Marion Sontheim, Alessandra Biondi, Stefan Wolfer, Roger Martin, Sandra Reinhart, Celina Hug vom 7. Mai 2025 ""Amtsenthebungsverfahren von Einzelmitgliedern in Exekutivämtern von Behörden auf kommunaler Ebene""",Motion,,"Gebiet, Organisation, Reglemente, Verwaltung",,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,6,58,64,
2025-05-21,2025-08-13,24/BS 16/152,152,"Beschluss des Grossen Rates zur Überführung der Liegenschaften Zürcherstrasse 331 und 333, Frauenfeld, vom Landkreditkonto ins übrige Finanzvermögen",Beschluss,,"Rechnungswesen, Finanzen, Vermögen, Gebühren",,,Abgeschlossen,Departement für Bau und Umwelt,,,,
2025-05-07,,24/IN 14/155,155,"Interpellation von Jacob Auer vom 7. Mai 2025 ""Alarmierende Arbeitsbedingungen in der 24-Stunden-Pflege""",Interpellation,,"Arbeitnehmerschutz, Oeffentliche Ruhe",,,InBearbeitung,,1,45,46,
2025-05-07,2025-09-10,24/EA 61/158,158,"Einfache Anfrage von Aline Indergand vom 7. Mai 2025 ""Mehrfachausschaffungen - Wie viele Fälle ereigneten sich im Kanton Thurgau?""",Einfache Anfrage,,"Niederlassung, Aufenthalt, Asyl",,,Abgeschlossen,Departement für Justiz und Sicherheit,1,,,
2025-07-02,2025-07-02,24/EB 4/162,162,Kantonsbürgerrechtsgesuche vom 02.07.2025,Einbürgerungsgesuch,,"Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,Abgeschlossen,Departement für Justiz und Sicherheit,,,,
2025-05-07,2024-07-03,24/EA 62/159,159,"Einfache Anfrage von Corinna Pasche-Strasser, Isabelle Wepfer, Marion Sontheim vom 7. Mai 2025 ""Sicherstellung professioneller Vollkostenrechnungen der Anbieter für die Umsetzung des SOVS vor der Überführung in die Regelstruktur""",Einfache Anfrage,,"Unterstufen: Kindergarten, Volks- und Primarschule",,,Abgeschlossen,,3,,,
2025-06-18,2025-06-18,24/WA 25/165,165,Amtsgelübde von Regierungsrätin Ruth Faller Graf,Wahlgeschäft,,,,,Abgeschlossen,,,,,
2024-07-03,2024-07-03,24/WA 27/170,170,Ersatzwahl eines Mitglieds der Justizkommission für den Rest der Amtsdauer,Wahlgeschäft,,,,,Abgeschlossen,Grosser Rat,,,,
2024-07-03,2024-07-03,24/WA 26/169,169,Wahl einer ausserordentlichen Berufsrichterin am Bezirksgericht Kreuzlingen für eine verlängerte Amtsdauer,Wahlgeschäft,,,,,Abgeschlossen,Grosser Rat,,,,
2025-06-18,2025-10-22,24/BS 17/168,168,Beschluss des Grossen Rates über einen Nachtragskredit 2025 zum kantonalen Energieförderprogramm,Beschluss,,,,,Abgeschlossen,,,,,
2025-04-02,2024-07-03,24/BS 13/149,149,"Geschäftsbericht 2024, umfassend den Rechenschaftsbericht des Regierungsrates und die Staatsrechnung, sowie Tätigkeitsbericht 2024 des Datenschutz- und Öffentlichkeitsbeauftragten",Beschluss,,"Budget, Finanzplan, Staatsrechnung",,,Abgeschlossen,Departement für Finanzen und Soziales,,,,
2025-06-18,2025-11-05,24/MO 24/173,173,"Motion von Sandra Stadler, Hermann Lei, Kilian Imhof, Marc Rüdisüli, Mathias Dietz, Christian Mader, Marcel Wittwer, Ruedi Zbinden, Elisabeth Rickenbach, Michèle Strähl-Obrist vom 18. Juni 2025 ""Massnahmen des Kantons Thurgau gegen die Einführung der Individualbesteuerung""",Motion,,"Staats- und Gemeindesteuern, allgemeine Organisation",,,Abgeschlossen,Departement für Finanzen und Soziales,9,66,75,
2025-06-18,2026-03-18,24/MO 25/174,174,"Motion von Corinna Pasche-Strasser, Isabelle Wepfer, Sabina Peter Köstli vom 18. Juni 2025 ""Anpassung des Gesetzes über das Stimm- und Wahlrecht""",Motion,,Majorzwahlen,,,Abgeschlossen,Departement für Inneres und Volkswirtschaft,3,18,21,
2025-06-18,2025-08-13,24/EA 67/176,176,"Einfache Anfrage von Sandra Stadler, Hermann Lei, Kilian Imhof, Marc Rüdisüli, Mathias Diez, Christian Mader, Marcel Wittwer, Ruedi Zbinden, Elisabeth Rickenbach, Michèle Strähl-Obrist vom 18. Juni 2025 ""Negative Auswirkungen der Individualbesteuerung für den Kanton Thurgau und ihre Gemeinden""",Einfache Anfrage,,"Staats- und Gemeindesteuern, allgemeine Organisation",,,Abgeschlossen,Departement für Finanzen und Soziales,10,,,
2025-06-18,2025-08-13,24/EA 68/177,177,"Einfache Anfrage von Cornelia Hauser vom 18. Juni 2025 ""Case Management Gesundheit für Asylpersonen""",Einfache Anfrage,,"Niederlassung, Aufenthalt, Asyl",,,Abgeschlossen,Departement für Finanzen und Soziales,1,,,
2025-07-02,,24/MO 26/181,181,"Motion von Robin Spiri, Marcel Wittwer, Oliver Martin vom 2. Juli 2025 ""Keine politischen Fahnen an Schulen - Dafür die Thurgauer Fahne stärken""",Motion,,,,,InBearbeitung,Departement für Erziehung und Kultur,3,13,16,
2025-07-02,2025-08-27,24/EA 72/186,186,"Einfache Anfrage von Karin Bétrisey, Stefan Leuthold, Markus Brüllmann vom 2. Juli 2025 ""Haltung des Regierungsrats zur OLS - Transparenz schaffen""",Einfache Anfrage,,"Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,Abgeschlossen,Departement für Bau und Umwelt,3,,,
2025-08-13,2025-09-29,24/EA 73/187,187,"Einfache Anfrage von Stefan Leuthold, Alexander Sigg, Nicole Zeitner, Reto Ammann, Celina Hug, Marcel Preiss vom 13. August 2025 ""39% Zoll auf Exporte in die USA: Drohen Kosten, aber auch Chancen für den Thurgau?""",Einfache Anfrage,,Wirtschaftliche Entwicklung,,,InBearbeitung,Departement für Inneres und Volkswirtschaft,6,,,
2025-07-02,2025-09-10,24/EA 69/183,183,"Einfache Anfrage von Peter Haldemann, Ulrich Marti vom 2. Juli 2025 ""Strategie Grundstückserwerb des Kanton Thurgau""",Einfache Anfrage,,"Sachenrecht, Grundbesitz, Grundbuch, Vermessung",,,Abgeschlossen,Departement für Bau und Umwelt,2,,,
