datum_geschaeft_eingang,datum_geschaeft_abschluss,geschaeftsnummer,grg_nummer,geschaftstitel,geschaftsart,kennung,sachbegriff_grgeko_1,sachbegriff_grgeko_2,sachbegriff_grgeko_3,status,departement,anzahl_erstunterzeichnende,anzahl_mitunterzeichnende,total_unterzeichnende,bemerkungen
2013-09-30,,12/AN 4/170,170,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Regina Rüetschi und Hermann Lei vom 30. September 2013 'Einbürgerungstest im Kanton Thurgau',Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,"14.1 Bürgerrecht, Ein- und Ausbürgerungen, Taxen",,,abgeschlossen,Departement für Justiz und Sicherheit,2,51,53,Antrag nicht erheblich erklärt (84:30 Stimmen)
2013-11-20,,12/BS 17/172,172,"Beschluss des Grossen Rates betreffend die 'Änderung 2013: Kapitel 2 und 3' des kantonalen Richtplans, Stand Oktober 2013",Beschluss,BS,"70.1 Raumplanung, Richtpläne",,,abgeschlossen,Departement für Bau und Umwelt,0,0,0,
2013-10-23,,12/EA 59/175,175,Einfache Anfrage von Max Möckli vom 23. Oktober 2013 'Gemisch von Altbelag und Kies auf Flurstrassen oder Hofplätzen',Einfache Anfrage,EA,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2013-11-20,,12/EA 63/183,183,"Einfache Anfrage von Christa Kaufmann, Ruedi Bartel, Josef Gemperle und Willy Nägeli vom 20. November 2013 'Vergabepraxis von Pflegebetten im Thurgau'",Einfache Anfrage,EA,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,4,0,4,
2013-11-20,,12/EA 64/184,184,Einfache Anfrage von Esther Kuhn vom 20. November 2013 'Vereinbarkeit von Amtsleitung und Einladungen',Einfache Anfrage,EA,92.2 Jagd und Vogelschutz,,,abgeschlossen,Departement für Justiz und Sicherheit,1,0,1,
2013-12-04,,12/EA 67/191,191,Einfache Anfrage von Hanspeter Grunder und Andreas Guhl vom 4. Dezember 2013 'Aufsicht des Kantons über die Leistungserbringer auf der Spitalliste',Einfache Anfrage,EA,"83.2 Kranken- und Unfallversicherung, Vereinbarungen",,,abgeschlossen,Departement für Finanzen und Soziales,2,0,2,
2013-12-04,,12/EA 68/192,192,Einfache Anfrage von Marianne Guhl und Aliye Gül vom 4. Dezember 2013 'Veranlagungspraxis bei unterpreislicher Vermietung',Einfache Anfrage,EA,"64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,,abgeschlossen,Departement für Finanzen und Soziales,2,0,2,
2013-12-04,,12/PI 2/195,195,"Parlamentarische Initiative von Stefan Geiges, Sonja Wiesmann, Urs Martin und Ruedi Heim vom 4. Dezember 2013 'Öffentliches Beschaffungswesen muss volkswirtschaftliche Effekte stärker berücksichtigen'",Parlamentarische Initiative,PI,"72.0 Submissionswesen Bau, Beschaffungswesen öffentliche Hand",,,abgeschlossen,Departement für Bau und Umwelt,4,77,81,Rückzug
2013-12-04,,12/IN 13/196,196,Interpellation von Toni Kappeler und Kurt Egger vom 4. Dezember 2013 'Kunststoffe recyceln',Interpellation,IN,"81.4 Umweltschutz: Allgemein, Boden, Wasser, Luft, Abfall",,,abgeschlossen,Departement für Bau und Umwelt,2,35,37,
2013-12-18,,12/EA 73/200,200,Einfache Anfrage von Moritz Tanner vom 18. Dezember 2013 'Güllen mit Schleppschlauch',Einfache Anfrage,EA,"91.0 Agrarpolitische Massnahmen, bäuerliches Bodenrecht",,,abgeschlossen,Departement für Inneres und Volkswirtschaft,1,0,1,
2014-01-22,,12/EA 75/206,206,Einfache Anfrage von Urs Martin und Vico Zahnd vom 22. Januar 2014 'Beseitigung des strukturellen Defizits im Kanton Thurgau',Einfache Anfrage,EA,"61.1 Finanzhaushalt, Finanzverwaltung und -kontrolle",,,abgeschlossen,Departement für Finanzen und Soziales,2,0,2,
2014-02-12,,12/IN 15/212,212,Interpellation von Josef Brägger und Peter Gubser vom 12. Februar 2014 'Erfolgreiche Lehrstellensuche und Rekrutierung von Lernenden',Interpellation,IN,41.4 Berufliches Bildungswesen,,,abgeschlossen,Departement für Erziehung und Kultur,2,46,48,Diskussion
2014-02-12,,12/EA 78/213,213,"Einfache Anfrage von Hans-Peter Wägeli vom 12. Februar 2014 'Vollzugskonzept Qualitativer Bodenschutz, 2.3.2.2 Bodenverschiebung bei Verkehrswegen'",Einfache Anfrage,EA,"72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2014-02-12,,12/EA 79/214,214,Einfache Anfrage von Hans Peter Grunder vom 12. Februar 2014 'Strassenverkehr zwischen Kreuzlingen und Konstanz',Einfache Anfrage,EA,"72.3 Strassenwesen: Gesetz, Strassenbau, Autobahnen",,,abgeschlossen,Departement für Bau und Umwelt,1,0,1,
2014-02-26,,12/EA 86/228,228,Einfache Anfrage von Matthias Müller vom 26. Februar 2014 'Kantonsbeiträge für Seminarhotel im Kloster Fischingen?',Einfache Anfrage,EA,"44.0 Kultur, Kunst (inklusive Lotteriefonds)",,,abgeschlossen,Departement für Erziehung und Kultur,1,0,1,
2014-03-12,,12/AN 5/230,230,Antrag gemäss § 52 der Geschäftsordnung des Grossen Rates von Roland A. Huber und Urs Martin vom 12. März 2014 'Prüfung der Vereinigung von KSK und PMS',Antrag nach § 52 bzw. § 46 der Geschäftsordnung,AN,41.5 Mittelschulen: Kantonsschulen und Seminare,,,abgeschlossen,Departement für Erziehung und Kultur,2,42,44,Antrag nicht erheblich erklärt (grosse Mehrheit)
2014-03-26,,12/BS 22/236,236,Geschäftsbericht 2013 der Thurgauer Kantonalbank,Beschluss,BS,"95.1 TKB, Bankenaufsicht",,,abgeschlossen,Departement für Finanzen und Soziales,0,0,0,
2014-03-26,,12/EA 88/239,239,Einfache Anfrage von Toni Kappeler und Klemenz Somm vom 26. März 2014 'Pendlerpauschale',Einfache Anfrage,EA,"64.1 Staats- und Gemeindesteuern, allgemeine Organisation",,,abgeschlossen,Departement für Finanzen und Soziales,2,0,2,
2014-04-23,,12/BS 25/244,244,Rechenschaftsbericht 2013 des Verwaltungsgerichtes,Beschluss,BS,"17.0 Allgemeine Aufsicht, Verwaltungsrechtspflege",,,abgeschlossen,Departement für Justiz und Sicherheit,0,0,0,
2014-05-28,,12/WA 50/247,247,Amtsgelübde von Regierungsrätin Carmen Haag,Wahlgeschäft,WA,17.2 Regierungsrat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-05-28,,12/WA 51/248,248,Wahl des Präsidiums des Grossen Rates für das Amtsjahr 2014/2015,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-05-28,,12/WA 52/249,249,Wahl des Vizepräsidiums des Grossen Rates für das Amtsjahr 2014/2015,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-05-28,,12/WA 53/250,250,Wahl der Mitglieder des Sekretariates sowie der Stimmenzählerinnen und Stimmenzähler des Grossen Rates für das Amtsjahr 2014/2015,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
2014-08-13,,12/WA 54/251,251,Amtsgelübde von Kantonsrätin Maja Bodenmann,Wahlgeschäft,WA,17.1 Grosser Rat,,,abgeschlossen,Grosser Rat,0,0,0,
