timestamp,a2hard_no2,a2hard_o3,a2hard_pm25,feldbergstr2_no2,feldbergstr2_o3,feldbergstr2_pm25,stjohann2_no2,stjohann2_o3,stjohann2_pm25,timestamp_text,anfangszeit
2022-02-17T01:00:00+00:00,0.0,67.0,0.2,0.0,56.1,0.3,0.0,64.6,0.2,2022-02-17T02:00:00+0100,17.02.2022 02:00:00
2022-02-17T14:00:00+00:00,56.6,47.7,2.8,56.2,30.1,4.5,35.2,57.1,2.4,2022-02-17T15:00:00+0100,17.02.2022 15:00:00
2022-02-17T15:30:00+00:00,53.9,45.7,3.4,41.7,40.1,3.9,18.5,62.4,3.0,2022-02-17T16:30:00+0100,17.02.2022 16:30:00
2022-02-17T19:00:00+00:00,69.4,25.1,5.7,37.5,32.7,6.0,18.7,54.7,5.0,2022-02-17T20:00:00+0100,17.02.2022 20:00:00
2022-02-17T10:30:00+00:00,42.1,57.3,4.4,20.8,61.0,4.5,6.1,77.8,3.1,2022-02-17T11:30:00+0100,17.02.2022 11:30:00
2022-02-18T03:00:00+00:00,44.2,32.7,6.0,19.3,37.7,5.7,26.2,27.5,5.4,2022-02-18T04:00:00+0100,18.02.2022 04:00:00
2022-02-18T04:30:00+00:00,12.8,37.9,8.8,29.6,24.1,6.6,32.1,25.7,6.4,2022-02-18T05:30:00+0100,18.02.2022 05:30:00
2022-02-18T15:00:00+00:00,15.3,59.5,2.5,61.4,34.7,4.3,15.3,55.1,1.9,2022-02-18T16:00:00+0100,18.02.2022 16:00:00
2022-02-18T17:00:00+00:00,26.4,64.4,2.8,26.6,38.7,8.9,7.6,62.4,2.1,2022-02-18T18:00:00+0100,18.02.2022 18:00:00
2022-02-18T18:30:00+00:00,1.7,84.2,1.2,11.1,61.0,1.9,6.9,72.8,0.9,2022-02-18T19:30:00+0100,18.02.2022 19:30:00
2022-02-19T18:30:00+00:00,90.5,26.3,4.0,47.4,31.7,5.2,25.2,47.9,3.5,2022-02-19T19:30:00+0100,19.02.2022 19:30:00
