date,kategorie,pax,fret,mvt
2019-08-01,Passagierverkehr,30306,,226
2019-07-31,Fracht Express,0,195.684,20
2019-07-30,Passagierverkehr,29183,1.416,236
2019-07-29,Fracht Cargo,0,42.76,2
2019-07-28,Fracht Express,0,,
2019-07-26,Fracht Cargo,0,38.439,2
2019-07-25,Passagierverkehr,30445,0.796,237
2019-07-25,Fracht Cargo,0,,
2019-07-24,Fracht Cargo,0,50.705,2
2019-07-23,Andere Kategorien,3,,46
2019-07-20,Passagierverkehr,32390,0.796,240
2019-07-20,Fracht Cargo,0,72.969,4
2019-07-19,Passagierverkehr,32048,0.278,249
2019-07-19,Fracht Cargo,0,47.329,2
2019-07-19,Andere Kategorien,11,,82
2019-07-18,Fracht Express,0,195.848,20
2019-07-18,Fracht Cargo,0,,
2019-07-18,Andere Kategorien,14,,44
2019-07-17,Andere Kategorien,2,,70
2019-07-16,Fracht Express,0,193.829,20
2019-07-14,Fracht Cargo,0,18.704,2
2019-07-13,Passagierverkehr,31527,2.085,242
2019-07-12,Fracht Express,0,158.717,14
2019-07-11,Fracht Express,0,197.522,19
2019-07-11,Fracht Cargo,0,,
2019-07-10,Andere Kategorien,3,,59
2019-07-08,Fracht Cargo,0,45.766,2
2019-07-08,Andere Kategorien,16,,69
2019-07-07,Fracht Express,0,,
2019-07-07,Fracht Cargo,0,17.731,2
2019-07-04,Passagierverkehr,26733,0.788,238
2019-07-03,Fracht Cargo,0,61.976,2
2019-07-02,Fracht Cargo,0,,
2019-07-01,Passagierverkehr,27876,0.926,242
2019-07-01,Fracht Express,0,162.895,16
2019-07-01,Andere Kategorien,4,,51
2019-06-29,Passagierverkehr,30293,0.907,235
2019-06-27,Passagierverkehr,27668,1.599,230
2019-06-27,Fracht Express,0,208.122,20
2019-06-27,Andere Kategorien,10,,57
2019-06-26,Fracht Cargo,0,62.389,2
2019-06-26,Andere Kategorien,21,,38
2019-06-25,Passagierverkehr,26325,2.173,228
2019-06-25,Fracht Cargo,0,0.0,1
2019-06-24,Andere Kategorien,11,,57
2019-06-22,Fracht Cargo,0,157.998,6
2019-06-21,Passagierverkehr,32514,0.62,261
2019-06-21,Fracht Express,0,152.635,14
2019-06-21,Andere Kategorien,6,,73
2019-06-20,Andere Kategorien,28,,43
2019-06-19,Passagierverkehr,28901,1.343,250
2019-06-18,Fracht Express,0,207.343,20
2019-06-18,Andere Kategorien,18,0.01,67
2019-06-17,Fracht Cargo,0,42.286,2
2019-06-17,Andere Kategorien,33,0.01,78
2019-06-15,Passagierverkehr,29169,3.05,242
2019-06-15,Fracht Express,0,44.082,6
2019-06-15,Fracht Cargo,0,135.505,6
2019-06-14,Passagierverkehr,32502,1.622,294
2019-06-14,Andere Kategorien,42,,70
2019-06-13,Fracht Cargo,0,,
2019-06-12,Fracht Express,0,197.082,20
2019-06-12,Fracht Cargo,0,48.204,2
2019-06-12,Andere Kategorien,33,,43
2019-06-10,Passagierverkehr,29655,,289
2019-06-10,Fracht Cargo,0,,
2019-06-09,Passagierverkehr,30974,0.356,251
2019-06-09,Andere Kategorien,17,,38
2019-06-08,Andere Kategorien,17,,58
2019-06-05,Passagierverkehr,25795,0.426,235
2019-06-04,Passagierverkehr,24903,0.134,220
2019-06-04,Fracht Express,0,195.335,21
2019-06-04,Fracht Cargo,0,,
