anfangszeit,pm25,zeitstempel_text
2021-03-24T02:00:00+00:00,12.9,24.03.2021 03:00:00
2021-03-24T03:30:00+00:00,13.2,24.03.2021 04:30:00
2021-03-24T06:00:00+00:00,13.0,24.03.2021 07:00:00
2021-03-24T15:00:00+00:00,2.6,24.03.2021 16:00:00
2021-03-24T17:30:00+00:00,2.6,24.03.2021 18:30:00
2021-03-25T01:00:00+00:00,9.1,25.03.2021 02:00:00
2021-03-25T06:00:00+00:00,10.6,25.03.2021 07:00:00
2021-03-25T11:00:00+00:00,7.0,25.03.2021 12:00:00
2021-03-25T11:30:00+00:00,5.9,25.03.2021 12:30:00
2021-03-25T12:30:00+00:00,5.4,25.03.2021 13:30:00
2021-03-25T16:00:00+00:00,5.9,25.03.2021 17:00:00
2021-03-25T18:30:00+00:00,7.1,25.03.2021 19:30:00
2021-03-26T09:30:00+00:00,,26.03.2021 10:30:00
2021-03-26T12:00:00+00:00,,26.03.2021 13:00:00
2021-03-26T12:30:00+00:00,7.0,26.03.2021 13:30:00
2021-03-26T18:30:00+00:00,7.6,26.03.2021 19:30:00
2021-03-26T19:00:00+00:00,10.2,26.03.2021 20:00:00
2021-03-27T03:30:00+00:00,3.2,27.03.2021 04:30:00
2021-03-27T05:00:00+00:00,0.9,27.03.2021 06:00:00
2021-03-27T07:30:00+00:00,1.2,27.03.2021 08:30:00
2021-03-27T18:30:00+00:00,2.6,27.03.2021 19:30:00
2021-03-27T19:00:00+00:00,3.2,27.03.2021 20:00:00
2021-03-28T02:30:00+00:00,,28.03.2021 04:30:00
2021-03-28T04:00:00+00:00,,28.03.2021 06:00:00
2021-03-28T06:00:00+00:00,,28.03.2021 08:00:00
2021-03-28T06:30:00+00:00,,28.03.2021 08:30:00
2021-03-28T10:00:00+00:00,,28.03.2021 12:00:00
2021-03-28T10:30:00+00:00,,28.03.2021 12:30:00
2021-03-28T14:30:00+00:00,,28.03.2021 16:30:00
2021-03-28T16:30:00+00:00,,28.03.2021 18:30:00
2021-03-29T01:30:00+00:00,5.6,29.03.2021 03:30:00
2021-03-29T05:00:00+00:00,5.5,29.03.2021 07:00:00
2021-03-29T05:30:00+00:00,5.8,29.03.2021 07:30:00
2021-03-29T17:00:00+00:00,2.2,29.03.2021 19:00:00
2021-03-29T21:00:00+00:00,5.3,29.03.2021 23:00:00
2021-03-29T22:00:00+00:00,6.0,30.03.2021 00:00:00
2021-03-29T23:30:00+00:00,6.3,30.03.2021 01:30:00
2021-03-30T00:30:00+00:00,6.5,30.03.2021 02:30:00
2021-03-30T03:00:00+00:00,6.9,30.03.2021 05:00:00
2021-03-30T07:00:00+00:00,9.7,30.03.2021 09:00:00
2021-03-30T08:30:00+00:00,8.5,30.03.2021 10:30:00
2021-03-30T09:00:00+00:00,8.3,30.03.2021 11:00:00
2021-03-30T10:00:00+00:00,7.2,30.03.2021 12:00:00
2021-03-30T15:30:00+00:00,3.3,30.03.2021 17:30:00
2021-03-30T23:00:00+00:00,7.0,31.03.2021 01:00:00
2021-03-31T04:30:00+00:00,7.0,31.03.2021 06:30:00
2021-03-31T16:30:00+00:00,2.8,31.03.2021 18:30:00
2021-04-01T04:30:00+00:00,9.4,01.04.2021 06:30:00
2021-04-01T08:00:00+00:00,10.4,01.04.2021 10:00:00
2021-04-01T11:00:00+00:00,4.9,01.04.2021 13:00:00
2021-04-01T11:30:00+00:00,4.1,01.04.2021 13:30:00
2021-04-01T13:00:00+00:00,2.2,01.04.2021 15:00:00
2021-04-01T17:30:00+00:00,3.3,01.04.2021 19:30:00
2021-04-01T18:00:00+00:00,3.6,01.04.2021 20:00:00
2021-04-02T09:30:00+00:00,11.3,02.04.2021 11:30:00
2021-04-02T11:30:00+00:00,12.0,02.04.2021 13:30:00
