datum,jahr,monat,frosttag,eistag,sommertag,hitzetag,sonnenlos,regen1,regen2,regen3,schneefall,schneedecke,reif,nebel,gewitter1,gewitter2,hagel,hell,trueb,wind1,wind2,heiztage
2000-08,2000,August,0,0,17,8,2,10,10,10,0,0,0,1,3,3.0,1,9,6,1,0,
2000-05,2000,Mai,0,0,9,0,0,13,13,11,0,0,0,0,3,3.0,0,1,9,4,0,
1999-09,1999,September,0,0,11,1,2,15,14,10,0,0,0,3,1,1.0,0,7,12,0,0,
1999-07,1999,Juli,0,0,19,3,1,13,12,9,0,0,0,1,5,5.0,1,4,12,0,0,
1999-01,1999,Januar,17,2,0,0,6,11,10,9,3,4,12,2,0,0.0,0,3,14,4,0,
1998-12,1998,Dezember,19,1,0,0,11,14,8,8,5,11,11,2,0,0.0,0,2,19,1,0,
1998-11,1998,November,15,4,0,0,8,16,16,11,4,3,10,2,0,0.0,0,3,13,0,0,
1998-08,1998,August,0,0,14,7,2,7,7,6,0,0,0,0,2,2.0,0,7,8,2,0,
1998-03,1998,März,10,0,0,0,4,15,11,8,3,1,9,0,0,0.0,0,3,15,4,0,
1998-02,1998,Februar,14,2,0,0,3,5,5,4,0,0,17,3,0,0.0,0,8,5,1,0,
1998-01,1998,Januar,15,1,0,0,10,12,12,11,3,4,9,0,0,0.0,0,4,16,7,2,
1997-07,1997,Juli,0,0,13,0,3,17,16,14,0,0,0,3,4,4.0,0,1,11,0,0,
1997-05,1997,Mai,0,0,6,0,0,15,12,7,0,0,1,1,3,3.0,1,4,6,0,0,
1997-03,1997,März,6,0,0,0,0,11,10,6,0,0,10,2,0,0.0,0,6,12,1,0,
1997-01,1997,Januar,24,11,0,0,21,10,7,5,4,22,6,10,0,0.0,0,5,22,0,0,
1996-10,1996,Oktober,0,0,0,0,7,18,17,11,0,0,2,5,0,0.0,0,0,18,2,0,
1996-05,1996,Mai,0,0,3,0,8,21,20,18,0,0,0,3,2,2.0,0,2,18,5,0,
1996-04,1996,April,6,0,3,0,2,10,10,7,0,0,5,0,0,0.0,0,1,13,0,0,
1996-03,1996,März,19,0,0,0,5,8,7,4,3,2,16,1,1,1.0,0,3,15,0,0,
1996-02,1996,Februar,24,6,0,0,9,15,14,7,12,8,6,0,0,0.0,0,3,17,3,0,
1996-01,1996,Januar,23,1,0,0,11,5,3,2,0,2,9,8,0,0.0,0,1,20,1,0,
1995-05,1995,Mai,0,0,10,0,6,15,14,11,0,0,2,1,1,1.0,0,2,16,3,0,
1995-04,1995,April,1,0,0,0,3,18,9,9,0,0,4,1,1,1.0,0,1,17,2,0,
1994-11,1994,November,1,0,0,0,3,11,7,6,0,0,2,4,0,0.0,0,0,14,7,0,
